 Peso (kg),Altezza (cm),LivelloAttività,PreferenzeAlimentari,Cronotipo,Obiettivo
75.0,183.0,Sedentario,Onnivoro,Mattiniero,Mantenere il peso
65.0,176.0,Sedentario,Onnivoro,Mattiniero,Performance sportiva
